 |                   fit_name |       quality |   chisq/nDoF                 |
 |     c2_Dt24_5-24_Dt32_0-31 |       0.31425 |  105.01/(  42 -  9) =   3.18 | F=-2.39(35)*10^-2; Ff_Dt24=-9.629(525960554); Ef_Dt24=1.69(109197)*10^1; Fi_Dt24=-5.137(2063); Ei_Dt24=7.065(401); Ff_Dt32=9.53(1230)*10^3; Ef_Dt32=1.40(13)*10^1; Fi_Dt32=8.68(39767)*10^1; Ei_Dt32=1.46(202)*10^1
 |      c_Dt24_5-24_Dt32_0-30 |       0.30719 |  130.21/(  41 -  1) =   3.26 | F=-4.43(44)*10^-2
 |      c_Dt24_5-24_Dt32_0-26 |       0.30625 |  124.08/(  39 -  1) =   3.27 | F=-3.49(45)*10^-2
 |      c_Dt24_5-24_Dt32_2-32 |       0.30431 |  131.44/(  41 -  1) =   3.29 | F=-2.46(41)*10^-2
 |      c_Dt24_5-24_Dt32_0-25 |       0.30382 |  125.08/(  39 -  1) =   3.29 | F=-1.67(41)*10^-2
 |      c_Dt24_5-24_Dt32_0-29 |       0.29589 |  135.19/(  41 -  1) =   3.38 | F=-3.77(34)*10^-2
 |      c_Dt24_5-24_Dt32_0-27 |       0.29251 |  133.33/(  40 -  1) =   3.42 | F=-3.22(35)*10^-2
 |      c_Dt24_5-24_Dt32_0-32 |       0.28762 |  142.55/(  42 -  1) =   3.48 | F=-3.28(34)*10^-2
 |      c_Dt24_5-24_Dt32_0-31 |       0.27266 |  150.37/(  42 -  1) =   3.67 | F=-3.14(34)*10^-2
 |     c2_Dt24_5-24_Dt32_0-29 |      0.084141 |  380.31/(  41 -  9) =  11.88 | F=-3.87(34)*10^-2; Ff_Dt24=8.72(1)*10^2; Ef_Dt24=5.842(1); Fi_Dt24=-0.183(4); Ei_Dt24=0.788(90); Ff_Dt32=-2.14(0)*10^2; Ef_Dt32=4.422(1); Fi_Dt32=4.024(99); Ei_Dt32=4.790(25)
