 |                         fit_name |       quality |   chisq/nDoF                 |
 |       c__24,12_24,24__32,1_32,11 |        9.4039 |   18.41/(  20 -  1) =   0.97 | F=-9.77(12508)*10^-4
 |       c__24,12_24,24__32,4_32,23 |        9.3667 |   29.29/(  28 -  1) =   1.08 | F=-6.39(905)*10^-3
 |      c__24,13_24,24__32,13_32,21 |        9.3273 |   12.75/(  16 -  1) =   0.85 | F=1.81(176)*10^-2
 |      c__24,13_24,24__32,15_32,24 |        9.3101 |   14.23/(  17 -  1) =   0.89 | F=2.48(186)*10^-2
 |     c2__24,13_24,24__32,11_32,25 |        9.3099 |   15.67/(  22 -  5) =   0.92 | F=2.63(231)*10^-2; dmf=6.60(19)*10^1; Ff=1.99(622)*10^26; dmi=5.532(679); Fi=-2.25(3931)*10^26
 |      c__24,13_24,24__32,11_32,25 |        9.3089 |   21.26/(  22 -  1) =   1.01 | F=2.01(149)*10^-2
 |      c__24,13_24,24__32,12_32,18 |        9.3061 |   11.27/(  15 -  1) =   0.80 | F=3.17(179)*10^-2
 |       c__24,12_24,24__32,9_32,23 |        9.3006 |   22.63/(  23 -  1) =   1.03 | F=6.75(1369)*10^-3
 |       c__24,13_24,24__32,5_32,23 |        9.2822 |   26.70/(  26 -  1) =   1.07 | F=3.14(1137)*10^-3
 |       c__24,12_24,23__32,7_32,13 |        9.2767 |   11.30/(  15 -  1) =   0.81 | F=8.39(1302)*10^-3
 |       c__24,12_24,24__32,9_32,13 |        9.2724 |    9.76/(  14 -  1) =   0.75 | F=2.62(195)*10^-2
 |       c__24,12_24,23__32,1_32,12 |        9.2687 |   18.52/(  20 -  1) =   0.97 | F=-4.09(1058)*10^-3
 |      c__24,12_24,23__32,16_32,25 |        9.2604 |   14.27/(  17 -  1) =   0.89 | F=1.90(169)*10^-2
 |       c__24,13_24,24__32,3_32,24 |        9.2463 |   30.71/(  29 -  1) =   1.10 | F=-1.93(916)*10^-3
 |       c__24,13_24,24__32,3_32,23 |        9.2407 |   29.39/(  28 -  1) =   1.09 | F=-4.63(945)*10^-3
 |   csnk__24,12_24,24__32,13_32,26 |        9.2276 |   18.56/(  22 -  3) =   0.98 | F=1.07(149)*10^-2; dmf=6.871(7727); Ff=4.183(42911)
 |      c2__24,12_24,23__32,3_32,25 |        9.2025 |   26.76/(  30 -  5) =   1.07 | F=1.18(96)*10^-2; dmf=0.405(241); Ff=-4.99(257)*10^-2; dmi=1.380(1088); Fi=-1.112(4388)
