 |           fit_name |       quality |   chisq/nDoF                 |
 |     c__24,11_24,18 |        1.1329 |  357.68/(   6 -  1) =  71.54 | F=0.833(2)
 |      c__24,8_24,18 |        1.0973 | 1015.62/(   9 -  1) = 126.95 | F=0.860(2)
 |      c__24,9_24,18 |         1.088 |  769.20/(   8 -  1) = 109.89 | F=0.852(2)
 |      c__24,4_24,19 |        1.0731 | 3133.66/(  14 -  1) = 241.05 | F=0.874(2)
 |     c__24,10_24,18 |        1.0352 |  572.41/(   7 -  1) =  95.40 | F=0.842(2)
 |      c__24,5_24,19 |        1.0152 | 2746.84/(  13 -  1) = 228.90 | F=0.866(2)
 |      c__24,6_24,19 |        1.0073 | 2291.03/(  12 -  1) = 208.28 | F=0.859(2)
 |      c__24,1_24,18 |       0.97593 | 4878.16/(  16 -  1) = 325.21 | F=0.924(2)
 |      c__24,7_24,19 |       0.95325 | 1963.83/(  11 -  1) = 196.38 | F=0.852(2)
 |      c__24,7_24,19 |       0.95325 | 1963.83/(  11 -  1) = 196.38 | F=0.852(2)
 |      c__24,3_24,19 |       0.93389 | 4246.27/(  15 -  1) = 303.30 | F=0.883(2)
 |      c__24,0_24,18 |       0.91223 | 6053.81/(  17 -  1) = 378.36 | F=0.934(2)
 |      c__24,4_24,20 |       0.89516 | 4477.59/(  15 -  1) = 319.83 | F=0.851(2)
 |      c__24,2_24,19 |       0.89259 | 5197.91/(  16 -  1) = 346.53 | F=0.893(2)
 |      c__24,8_24,19 |       0.86849 | 1663.81/(  10 -  1) = 184.87 | F=0.841(2)
 |      c__24,5_24,20 |       0.86114 | 3922.68/(  14 -  1) = 301.74 | F=0.843(2)
 |      c__24,6_24,20 |       0.85635 | 3320.89/(  13 -  1) = 276.74 | F=0.836(2)
 |      c__24,9_24,19 |       0.83405 | 1343.30/(   9 -  1) = 167.91 | F=0.833(2)
 |      c__24,7_24,20 |       0.80212 | 2924.70/(  12 -  1) = 265.88 | F=0.829(2)
 |     c__24,11_24,19 |       0.77793 |  767.94/(   7 -  1) = 127.99 | F=0.814(2)
 |      c__24,1_24,19 |         0.775 | 6986.00/(  17 -  1) = 436.63 | F=0.906(2)
 |      c__24,3_24,20 |       0.77019 | 6031.66/(  16 -  1) = 402.11 | F=0.858(2)
